symbol,name,sector,market_cap,shares,price,EPS,Sales,current_eps,EPS_CAGR,Sales_CAGR
TPL,TPL Corp Limited,TECHNOLOGY & COMMUNICATION,1534289160.0,267297763,5.74,"['(5.23)', '(3.23)', '(2.28)', '(1.02)']","['', '', '', '']",-5.23,0.0,0.0
MUKT,Mukhtar Textile Mills Limited,TEXTILE SPINNING,15805000.0,14500000,1.09,[],[],0.0,0.0,0.0
MUBT,Mubarak Textile Mills Limited,TEXTILE COMPOSITE,20790000.0,5400000,3.85,"['(0.36)', '(0.28)', '(0.15)', '1.23']",[],-0.36,0.0,0.0
MTIL,Mian Textile Industries Limited,TEXTILE COMPOSITE,869618570.0,22105200,39.34,"['(0.24)', '(0.66)', '4.24', '1.97']","['', '', '2116', '18958']",-0.24,0.0,-0.88838485072265
MSOT,Masood Textile Mills Limited,TEXTILE COMPOSITE,3749625000.0,67500000,55.55,"['(7.95)', '38.54', '33.24', '9.06']","['58676926', '60105873', '54146811', '37089359']",-7.95,0.0,0.16521484423993993
MSCL,Metropolitan Steel Corporation Limited,ENGINEERING,326812630.0,30977500,10.55,"['(0.75)', '(0.42)', '(2.58)', '0.06']",[],-0.75,0.0,0.0
MZSM,Mirza Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,70782000.0,14100000,5.02,"['(5.82)', '(2.58)', '(8.63)', '8.43']","['446822', '20963', '217645', '774361']",-5.82,0.0,-0.1674754954806481
TPLL,TPL Life Insurance Limited,TEXTILE SPINNING,12684250000.0,224500000,56.50,"['(1.49)', '28.62', '2.64', '(6.22)']","['', '', '', '']",-1.49,0.0,0.0
NAFL,National Fibres Limited,SYNTHETIC & RAYON,847778000.0,84777800,10.00,[],[],0.0,0.0,0.0
TPLI,TPL Insurance Limited,INSURANCE,2023623510.0,198394462,10.20,"['5.62', '0.03', '0.66', '(0.54)']",[],5.62,0.0,0.0
TCORP,Tariq Corporation Limited,SUGAR & ALLIED INDUSTRIES,893784380.0,66206250,13.50,"['6.46', '(3.80)', '0.58', '(7.43)']","['7832780', '6286543', '6148523', '2954630']",6.46,0.0,0.38400483874472435
THAS,Taha Spinning Mills Limited,TEXTILE SPINNING,0.0,0,190.50,"['(1.08)', '(0.74)', '(0.80)', '17.95']","['', '', '', '']",-1.08,0.0,0.0
NATM,Nadeem Textile Mills Limited,TEXTILE SPINNING,1701338800.0,21266735,80.00,"['(45.22)', '(26.39)', '56.43', '30.78']","['11391094', '10666653', '13775868', '9420602']",-45.22,0.0,0.06535805332245892
NMFL,Nirala MSR Foods Limited,FOOD & PERSONAL CARE PRODUCTS,211682020.0,16589500,12.76,[],[],0.0,0.0,0.0
NINA,Nina Industries Limited,TEXTILE COMPOSITE,24442000.0,24200000,1.01,"['(2.65)', '(13.49)', '(4.23)', '(5.53)']","['359107', '332697', '382389', '269911']",-2.65,0.0,0.09985245581443336
STPL,Siddiqsons Tin Plate Limited,MISCELLANEOUS,1368794040.0,229278733,5.97,"['0.01', '0.88', '1.41', '(0.10)']","['4393767', '4722753', '5847855', '3556448']",0.01,0.0,0.07301761908638205
NEXT,Next Capital Limited,INV. BANKS / INV. COS. / SECURITIES COS.,598281750.0,56925000,10.51,"['(0.38)', '(1.71)', '0.54', '1.66']",[],-0.38,0.0,0.0
SUCM,Sunshine Cotton Mills Limited,TEXTILE SPINNING,2590860.0,7851100,0.33,[],[],0.0,0.0,0.0
SUHJ,Suhail Jute Mills Limited,JUTE,544678680.0,4332819,125.71,"['(15.01)', '(15.74)', '(12.62)', '(11.77)']",[],-15.01,0.0,0.0
SURAJ,Suraj Ghee Industries Limited,VANASPATI & ALLIED INDUSTRIES,9581000.0,958100,10.00,[],[],0.0,0.0,0.0
SZTM,Shahzad Textile Mills Limited,TEXTILE SPINNING,536804880.0,17971372,29.87,"['(5.50)', '(14.98)', '21.00', '17.01']","['11014646', '8398630', '9382850', '6927057']",-5.5,0.0,0.16718740963241507
TAJT,Taj Textile Mills Limited,TEXTILE COMPOSITE,13711220.0,33442000,0.41,"['(0.30)', '(0.33)']",[],-0.3,0.0,0.0
TATM,Tata Textile Mills Limited,TEXTILE SPINNING,2794081340.0,55993614,49.90,"['(9.89)', '4.65', '79.35', '47.54']","['45823700', '34910638', '35113585', '8962076']",-9.89,0.0,0.7227695097865299
TBL,Treet Battery Limited.,AUTOMOBILE PARTS & ACCESSORIES,13498831110.0,882276543,15.30,"['(0.32)', '0.26']","['8733322', '2040584']",-0.32,0.0,3.279814994138933
